Run,Age,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,strain
SRR10079579,2-month-old,RNA-Seq,300,8062648800,PRJNA564299,SAMN12708617,2635498394,GEO,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX6812596,GSM4065891,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-04-21T00:00:00Z,GSM4065891,Brain,SRP220678,C57BL/6
SRR10079580,2-month-old,RNA-Seq,300,8013847800,PRJNA564299,SAMN12708616,2636901025,GEO,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX6812597,GSM4065892,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-04-21T00:00:00Z,GSM4065892,Brain,SRP220678,C57BL/6
SRR10079581,2-month-old,RNA-Seq,300,8055843600,PRJNA564299,SAMN12708615,2642059362,GEO,public,"sra,fastq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX6812598,GSM4065893,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-04-21T00:00:00Z,GSM4065893,Brain,SRP220678,C57BL/6
SRR10079582,4-month-old,RNA-Seq,300,7608938400,PRJNA564299,SAMN12708614,2465813362,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX6812599,GSM4065894,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-04-21T00:00:00Z,GSM4065894,Brain,SRP220678,C57BL/6
SRR10079583,4-month-old,RNA-Seq,300,7912941900,PRJNA564299,SAMN12708613,2604058160,GEO,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX6812600,GSM4065895,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-04-21T00:00:00Z,GSM4065895,Brain,SRP220678,C57BL/6
SRR10079584,4-month-old,RNA-Seq,300,7563385200,PRJNA564299,SAMN12708612,2455545524,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX6812601,GSM4065896,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-04-21T00:00:00Z,GSM4065896,Brain,SRP220678,C57BL/6
SRR10079585,6-month-old,RNA-Seq,299,7540660314,PRJNA564299,SAMN12708611,2810372775,GEO,public,"fastq,sra","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX6812602,GSM4065897,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-04-21T00:00:00Z,GSM4065897,Brain,SRP220678,C57BL/6
SRR10079586,6-month-old,RNA-Seq,299,7575093924,PRJNA564299,SAMN12708610,2676820992,GEO,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX6812603,GSM4065898,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-04-21T00:00:00Z,GSM4065898,Brain,SRP220678,C57BL/6
SRR10079587,6-month-old,RNA-Seq,299,8309179994,PRJNA564299,SAMN12708609,2868919703,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX6812628,GSM4065899,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-04-21T00:00:00Z,GSM4065899,Brain,SRP220678,C57BL/6
SRR10079588,9-month-old,RNA-Seq,300,9040792800,PRJNA564299,SAMN12708608,3044434287,GEO,public,"sra,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX6812629,GSM4065900,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-04-21T00:00:00Z,GSM4065900,Brain,SRP220678,C57BL/6
SRR10079589,9-month-old,RNA-Seq,300,8062712700,PRJNA564299,SAMN12708607,2659858582,GEO,public,"sra,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX6812630,GSM4065901,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-04-21T00:00:00Z,GSM4065901,Brain,SRP220678,C57BL/6
SRR10079590,9-month-old,RNA-Seq,300,7816212000,PRJNA564299,SAMN12708606,2709162934,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX6812631,GSM4065902,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-04-21T00:00:00Z,GSM4065902,Brain,SRP220678,C57BL/6
SRR10079591,12-month-old,RNA-Seq,300,7615083900,PRJNA564299,SAMN12708605,2461075576,GEO,public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX6812632,GSM4065903,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-04-21T00:00:00Z,GSM4065903,Brain,SRP220678,C57BL/6
SRR10079592,12-month-old,RNA-Seq,300,8762586600,PRJNA564299,SAMN12708604,3079269677,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX6812633,GSM4065904,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-04-21T00:00:00Z,GSM4065904,Brain,SRP220678,C57BL/6
SRR10079593,12-month-old,RNA-Seq,300,8290380900,PRJNA564299,SAMN12708603,2869746456,GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX6812634,GSM4065905,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-05-29T00:00:00Z,GSM4065905,Brain,SRP220678,C57BL/6
