Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,brain_region,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Genotype,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,strain,time_point,tissue
SRR10596842,RNA-Seq,250,8638877250,PRJNA593775,SAMN13488995,Nucleus Accumbens,3410224957,GEO,public,"sra,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX7276681,wild type,GSM4205473,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-12-09T00:00:00Z,GSM4205473,Nucleus Accumbens,SRP234876,C57BL/6,1-day Abstinence,Brain
SRR10596843,RNA-Seq,250,10286228500,PRJNA593775,SAMN13488993,Nucleus Accumbens,4050609999,GEO,public,"fastq,sra","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX7276682,wild type,GSM4205474,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-12-09T00:00:00Z,GSM4205474,Nucleus Accumbens,SRP234876,C57BL/6,1-day Abstinence,Brain
SRR10596844,RNA-Seq,250,11077243000,PRJNA593775,SAMN13488991,Nucleus Accumbens,4379883325,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7276683,wild type,GSM4205475,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-12-09T00:00:00Z,GSM4205475,Nucleus Accumbens,SRP234876,C57BL/6,1-day Abstinence,Brain
SRR10596845,RNA-Seq,250,10043716000,PRJNA593775,SAMN13488989,Nucleus Accumbens,4066692594,GEO,public,"fastq,sra","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX7276684,wild type,GSM4205476,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-12-09T00:00:00Z,GSM4205476,Nucleus Accumbens,SRP234876,C57BL/6,1-day Abstinence,Brain
SRR10596846,RNA-Seq,250,8794327250,PRJNA593775,SAMN13488986,Nucleus Accumbens,3566121232,GEO,public,"fastq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX7276685,wild type,GSM4205477,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-12-09T00:00:00Z,GSM4205477,Nucleus Accumbens,SRP234876,C57BL/6,1-day Abstinence,Brain
SRR10596847,RNA-Seq,250,11302434000,PRJNA593775,SAMN13488984,Nucleus Accumbens,4499900346,GEO,public,"fastq,sra","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX7276686,wild type,GSM4205478,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-12-09T00:00:00Z,GSM4205478,Nucleus Accumbens,SRP234876,C57BL/6,1-day Abstinence,Brain
SRR10596848,RNA-Seq,250,12003283000,PRJNA593775,SAMN13488982,Nucleus Accumbens,4737872383,GEO,public,"fastq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX7276687,wild type,GSM4205479,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-12-09T00:00:00Z,GSM4205479,Nucleus Accumbens,SRP234876,C57BL/6,1-day Abstinence,Brain
SRR10596849,RNA-Seq,250,10014397250,PRJNA593775,SAMN13488979,Nucleus Accumbens,3928576994,GEO,public,"sra,fastq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX7276688,wild type,GSM4205480,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-12-09T00:00:00Z,GSM4205480,Nucleus Accumbens,SRP234876,C57BL/6,1-day Abstinence,Brain
SRR10596850,RNA-Seq,250,10279614250,PRJNA593775,SAMN13488977,Nucleus Accumbens,4057224116,GEO,public,"sra,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX7276689,wild type,GSM4205481,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-12-09T00:00:00Z,GSM4205481,Nucleus Accumbens,SRP234876,C57BL/6,1-day Abstinence,Brain
SRR10596851,RNA-Seq,250,10282951250,PRJNA593775,SAMN13488976,Nucleus Accumbens,4124593098,GEO,public,"sra,fastq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX7276690,wild type,GSM4205482,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-12-09T00:00:00Z,GSM4205482,Nucleus Accumbens,SRP234876,C57BL/6,1-day Abstinence,Brain
SRR10596852,RNA-Seq,250,9484865000,PRJNA593775,SAMN13488974,Nucleus Accumbens,3786312481,GEO,public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX7276691,wild type,GSM4205483,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-12-09T00:00:00Z,GSM4205483,Nucleus Accumbens,SRP234876,C57BL/6,1-day Abstinence,Brain
SRR10596853,RNA-Seq,250,10147201750,PRJNA593775,SAMN13488973,Nucleus Accumbens,4011626597,GEO,public,"fastq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX7276692,wild type,GSM4205484,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-12-09T00:00:00Z,GSM4205484,Nucleus Accumbens,SRP234876,C57BL/6,1-day Abstinence,Brain
SRR10596854,RNA-Seq,250,9414737250,PRJNA593775,SAMN13488972,Ventral Tegmental Area,3772828691,GEO,public,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX7276693,wild type,GSM4205485,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-12-09T00:00:00Z,GSM4205485,Ventral Tegmental Area,SRP234876,C57BL/6,1-day Abstinence,Brain
SRR10596855,RNA-Seq,250,8620512750,PRJNA593775,SAMN13488971,Ventral Tegmental Area,3418069648,GEO,public,"fastq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX7276694,wild type,GSM4205486,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-12-09T00:00:00Z,GSM4205486,Ventral Tegmental Area,SRP234876,C57BL/6,1-day Abstinence,Brain
SRR10596856,RNA-Seq,250,8891294750,PRJNA593775,SAMN13489075,Ventral Tegmental Area,3506044488,GEO,public,"fastq,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX7276695,wild type,GSM4205487,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-12-09T00:00:00Z,GSM4205487,Ventral Tegmental Area,SRP234876,C57BL/6,1-day Abstinence,Brain
SRR10596857,RNA-Seq,250,10952679250,PRJNA593775,SAMN13489074,Ventral Tegmental Area,4340574309,GEO,public,"sra,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX7276696,wild type,GSM4205488,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-12-09T00:00:00Z,GSM4205488,Ventral Tegmental Area,SRP234876,C57BL/6,1-day Abstinence,Brain
SRR10596858,RNA-Seq,250,9540858750,PRJNA593775,SAMN13489073,Ventral Tegmental Area,3797633167,GEO,public,"fastq,sra","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX7276697,wild type,GSM4205489,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-12-09T00:00:00Z,GSM4205489,Ventral Tegmental Area,SRP234876,C57BL/6,1-day Abstinence,Brain
SRR10596859,RNA-Seq,250,9560154250,PRJNA593775,SAMN13489072,Ventral Tegmental Area,3791449476,GEO,public,"fastq,sra","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX7276698,wild type,GSM4205490,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-12-09T00:00:00Z,GSM4205490,Ventral Tegmental Area,SRP234876,C57BL/6,1-day Abstinence,Brain
SRR10596860,RNA-Seq,250,9168302000,PRJNA593775,SAMN13489071,Ventral Tegmental Area,3644644999,GEO,public,"fastq,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX7276699,wild type,GSM4205491,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-12-09T00:00:00Z,GSM4205491,Ventral Tegmental Area,SRP234876,C57BL/6,1-day Abstinence,Brain
SRR10596861,RNA-Seq,250,9014465250,PRJNA593775,SAMN13489070,Ventral Tegmental Area,3572185790,GEO,public,"fastq,sra","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX7276700,wild type,GSM4205492,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-12-09T00:00:00Z,GSM4205492,Ventral Tegmental Area,SRP234876,C57BL/6,1-day Abstinence,Brain
SRR10596862,RNA-Seq,250,9224322000,PRJNA593775,SAMN13489069,Ventral Tegmental Area,3679827694,GEO,public,"fastq,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX7276701,wild type,GSM4205493,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-12-09T00:00:00Z,GSM4205493,Ventral Tegmental Area,SRP234876,C57BL/6,1-day Abstinence,Brain
SRR10596863,RNA-Seq,250,8690486250,PRJNA593775,SAMN13489068,Ventral Tegmental Area,3501410028,GEO,public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX7276702,wild type,GSM4205494,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-12-09T00:00:00Z,GSM4205494,Ventral Tegmental Area,SRP234876,C57BL/6,1-day Abstinence,Brain
SRR10596864,RNA-Seq,250,10685194750,PRJNA593775,SAMN13489067,Ventral Tegmental Area,4270933769,GEO,public,"fastq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX7276703,wild type,GSM4205495,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-12-09T00:00:00Z,GSM4205495,Ventral Tegmental Area,SRP234876,C57BL/6,1-day Abstinence,Brain
SRR10596865,RNA-Seq,250,9693066750,PRJNA593775,SAMN13489066,Ventral Tegmental Area,3866647777,GEO,public,"fastq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX7276704,wild type,GSM4205496,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-12-09T00:00:00Z,GSM4205496,Ventral Tegmental Area,SRP234876,C57BL/6,1-day Abstinence,Brain
